sport,league,market,count,winrate,roi
Basketball,NCAAB,Total Points,1228,0.49267100977198697,-1.8035193519351946
Basketball,NBA,Player Points,1150,0.49478260869565216,-0.673882882882883
Baseball,MLB,Moneyline,906,0.2924944812362031,-25.75402597402597
Tennis,ATP,Moneyline,845,0.4272189349112426,-16.458483033932136
Basketball,NCAAB,Spread,804,0.46766169154228854,-6.028951367781156
Baseball,MLB,Pitcher Strikeouts,794,0.49496221662468515,3.045428571428572
Basketball,NBA,Player Rebounds,774,0.49612403100775193,0.5289308996088655
Basketball,NCAAB,1st Half Total,671,0.526080476900149,-0.4789303079416539
Basketball,NBA,Player PRA,631,0.49920760697305866,2.0324877250409163
Basketball,NBA,Player Assists,595,0.5042016806722689,1.9858031088082901
Tennis,WTA,Moneyline,546,0.46886446886446886,-5.845029761904762
Basketball,NBA,Total Points,534,0.5074906367041199,2.2790888382687915
Basketball,NBA,Spread,513,0.47953216374269003,-0.5992258064516135
Baseball,MLB,Total Runs,460,0.4934782608695652,4.0081797235023044
Basketball,NBA,Moneyline,453,0.31788079470198677,-16.40713603818616
Basketball,NCAAB,Team Total Points,417,0.4940047961630695,-9.885479452054792
Tennis,ATP,1st Set Winner,369,0.46612466124661245,-5.0223417721519
Baseball,MLB,1st Inning Total,352,0.5085227272727273,-2.24615141955836
Baseball,MLB,Player Home Runs,344,0.2063953488372093,6.387721893491125
Tennis,ATP,2nd Set Winner,338,0.3609467455621302,-44.65068965517242
Basketball,NBA,1st Half Total,338,0.5236686390532544,6.324007220216607
Baseball,MLB,Team Total Runs,332,0.49698795180722893,-1.4994230769230774
Basketball,NCAAB,1st Half Spread,318,0.5345911949685535,5.013576923076923
Basketball,NBA,Team Total Points,312,0.5032051282051282,8.124863636363637
Baseball,MLB,1st 5 Innings Total,311,0.5209003215434084,9.90520295202952
American Football,NCAAFB,Total Points,300,0.56,10.142922535211266
Tennis,ATP,Total Games,294,0.5714285714285714,13.10656652360515
Tennis,WTA,Total Games,258,0.47674418604651164,-1.0528000000000006
American Football,NCAAFB,Spread,254,0.47244094488188976,-2.969736842105264
Baseball,MLB,Player Total Bases,243,0.3868312757201646,-13.629910313901346
Basketball,NCAAB,Moneyline,236,0.3983050847457627,-8.383005181347151
Baseball,MLB,Run Line,226,0.36283185840707965,-9.746734693877551
Basketball,NCAAB,1st Half Team Total,219,0.4794520547945205,-3.6264052287581685
Baseball,MLB,Pitcher Outs,210,0.49047619047619045,-5.200394736842106
Basketball,NBA,Player 3-Pointers,204,0.4362745098039216,-7.973768844221105
Tennis,ATP,Spread,202,0.44554455445544555,-11.185947368421052
American Football,NFL,Moneyline,202,0.3118811881188119,-4.433313253012049
Tennis,WTA,1st Set Winner,195,0.4256410256410256,-29.115274725274723
Basketball,NBA,1st Quarter Total,195,0.4717948717948718,-9.022093023255813
Tennis,WTA,2nd Set Winner,177,0.6101694915254238,42.9059375
Baseball,MLB,Player Hits,174,0.28735632183908044,-21.011052631578945
American Football,NFL,Player Receiving Yards,162,0.5864197530864198,13.53954248366013
Tennis,WTA,Spread,158,0.5,-7.8670921985815605
American Football,NFL,Total Points,158,0.5126582278481012,5.266071428571427
Basketball,NBA,1st Half Team Total,153,0.49673202614379086,1.9513492063492068
American Football,NFL,Spread,151,0.4768211920529801,-4.353007518796994
Tennis,ATP,Total Sets,149,0.28187919463087246,-29.731917808219176
Baseball,MLB,Parlay,145,0.1310344827586207,-38.53951724137931
Basketball,NBA,1st Half Spread,145,0.4896551724137931,-6.457286821705427
Basketball,WNBA,1st Half Total,132,0.49242424242424243,-4.5073584905660375
American Football,NFL,Player Receptions,107,0.5420560747663551,11.317128712871288
American Football,NFL,Player Rushing Yards,107,0.6261682242990654,22.432941176470585
Ice Hockey,NHL,Total Goals,89,0.651685393258427,29.181948051948048
American Football,NCAAFB,1st Half Spread,88,0.38636363636363635,-23.912647058823527
Basketball,WNBA,Total Points,88,0.48863636363636365,2.106666666666667
Tennis,WTA,Total Sets,85,0.4,1.7988636363636366
Baseball,MLB,1st 5 Innings Run Line,85,0.5411764705882353,8.532112676056338
American Football,NFL,1st Half Spread,84,0.5238095238095238,-5.690606060606061
